Transcript_ID	Locus_ID	Description	RAP-DB Gene Symbol Synonym(s)	RAP-DB Gene Name Synonym(s)	CGSNL Gene Symbol	CGSNL Gene Name	Oryzabase Gene Symbol Synonym(s)	Oryzabase Gene Name Synonym(s)	GO	InterPro	Transcript evidence	ORF evidence	Curation Date	Literature PMID	FLcDNA clone ID	Oryzabase Trait Gene ID
Os07t0148600-00	Os07g0148600	Sulfotransferase family protein.						flavonol sulfotransferase	Molecular Function: sulfotransferase activity (GO:0008146)	Sulfotransferase domain (IPR000863)	AK251091 (DDBJ)	Q2QU81 (UniProt)				20298
Os07t0148800-01	Os07g0148800	Conserved hypothetical protein.									AK062246 (DDBJ, Best hit)	Q69VA2 (UniProt)			001-047-F05	
Os07t0148900-01	Os07g0148900	Photosystem I protein-like protein.			PSAK	PHOTOSYSTEM I SUBUNIT	PsaK, OsPSAK	PSI subunit PsaK, photosystem I subunit PsaK, PSI subunit X	Biological Process: photosynthesis (GO:0015979), Cellular Component: photosystem I (GO:0009522), Cellular Component: membrane (GO:0016020)	Photosystem I PsaG/PsaK protein (IPR000549), Photosystem I PsaG/PsaK, plant (IPR016370), Photosystem I PsaK, reaction centre, plant (IPR017493)	AK058788 (DDBJ, Best hit)	P36886 (UniProt)			001-002-E09	9591
Os07t0149250-01	Os07g0149250	Non-protein coding transcript.									AK288927 (DDBJ, Best hit)	NONE			J090082E19	
Os07t0149300-00	Os07g0149300	Conserved hypothetical protein.									ab initio prediction	B8B7B4 (UniProt)				
Os07t0149900-01	Os07g0149900	X8 domain containing protein.								X8 (IPR012946)	AK109055 (DDBJ, Best hit)	A2YI70 (UniProt)			002-154-E09	
Os07t0150100-01	Os07g0150100	Protein of unknown function DUF221 domain containing protein.			ERD4	EARLY RESPONSIVE TO DEHYDRATION 4	OsOSCA3.1, OSCA3.1, OsIOSCA3.1, OsERD4, OsDDP7, DDP7, OsDDP7.1, OsDDP7.2	Hyperosmolality-gated calcium-permeable channel 3.1, OSCA channels 3.1, Early Responsive to Dehydration 4, DUF221 Domain containing Protein 7	Cellular Component: membrane (GO:0016020)	Domain of unknown function DUF221 (IPR003864)	AK098912 (DDBJ, Best hit), AK065241 (DDBJ, Best hit)	NP_001108122.1 (RefSeq)			J013002I07, J013002I09	19658
Os07t0150200-01	Os07g0150200	Similar to 40S ribosomal protein S12-1.							Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)	Ribosomal protein S12e (IPR000530), Ribosomal protein L7Ae/L30e/S12e/Gadd45 (IPR004038)	AK121635 (DDBJ, Best hit), AK058680 (DDBJ, Best hit)	B8B7B6 (UniProt)			J033051C16, 001-019-A01	
Os07t0150500-01	Os07g0150500	Zinc finger, C3HC-like domain containing protein.							Cellular Component: nucleus (GO:0005634), Molecular Function: zinc ion binding (GO:0008270)	Zinc finger, C3HC-like (IPR012935)	AK073749 (DDBJ, Best hit)	A2YI76 (UniProt)			J033070M17	
Os07t0150600-00	Os07g0150600	Non-protein coding transcript.									BT085109 (DDBJ)	NONE				
Os07t0150700-01	Os07g0150700	Serine/threonine protein kinase, Pollination and drought stress responses, Reguration of potassium uptake by CBL1-CIPK23 complex	CIPK23, OsCIPK23, Os-CIPK23	CALCINEURIN B-LIKE PROTEIN-INTERACTING PROTEIN KINASE 23, CBL-interacting protein kinase 23, CBL-Interacting Protein Kinase23	CIPK23	CALCINEURIN B-LIKE PROTEIN-INTERACTING PROTEIN KINASE 23	OsCIPK23, Os-CIPK23, OsSnRK3.23, SnRK3.23	CBL-interacting protein kinase 23, CBL-Interacting Protein Kinase23, Sucrose nonfermenting-1-related protein kinase 3.23	Biological Process: protein phosphorylation (GO:0006468), Biological Process: signal transduction (GO:0007165), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)	Protein kinase-like domain (IPR011009), Protein kinase domain (IPR000719), Serine/threonine/dual specificity protein kinase, catalytic  domain (IPR002290), NAF/FISL domain (IPR018451), NAF domain (IPR004041), Protein kinase, ATP binding site (IPR017441), Serine/threonine-protein kinase, active site (IPR008271)	AK069726	Q6ZLP5	November 14, 2014	25096783, 18804072, 17535819	J023030M13	7410
Os07t0150901-01	Os07g0150901	Conserved hypothetical protein.									AK241621 (DDBJ, Best hit)	B9FVI6 (UniProt)			J065186I02	
Os07t0151100-01	Os07g0151100	CC-type glutaredoxin, Panicle development	GRX19, OsGRX19	GLUTAREDOXIN 19, glutaredoxin 19	MIL1 , GRX19	MICROSPORELESS 1, GLUTAREDOXIN 19	MIL1, mil1, OsGRX19	MICROSPORELESS1, microsporeless1, glutaredoxin 19	Biological Process: cell redox homeostasis (GO:0045454), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: protein disulfide oxidoreductase activity (GO:0015035)	Glutaredoxin-like, plant II (IPR011905), Thioredoxin-like fold (IPR012336), Glutaredoxin (IPR002109)	Q7XIZ1	Q7XIZ1	September 16, 2014	21044985		10372, 13573
Os07t0151100-02	Os07g0151100	Plant-specific CC-type glutaredoxin, Control of meiosis entry in microsporocytes	MIL1, mil1	MICROSPORELESS 1, MICROSPORELESS1, microsporeless1	MIL1 , GRX19	MICROSPORELESS 1, GLUTAREDOXIN 19	MIL1, mil1, OsGRX19	MICROSPORELESS1, microsporeless1, glutaredoxin 19	Biological Process: cell redox homeostasis (GO:0045454), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: protein disulfide oxidoreductase activity (GO:0015035)	Glutaredoxin-like, plant II (IPR011905), Thioredoxin-like fold (IPR012336), Glutaredoxin (IPR002109), Glutaredoxin subgroup (IPR014025)	JN417767 (japonica)	H9MER5	September 16, 2014	22319054		10372, 13573
Os07t0151200-00	Os07g0151200	Sugar/inositol transporter domain containing protein.							Biological Process: transport (GO:0006810), Biological Process: transmembrane transport (GO:0055085), Cellular Component: membrane (GO:0016020), Cellular Component: integral to membrane (GO:0016021), Molecular Function: transporter activity (GO:0005215), Molecular Function: transmembrane transporter activity (GO:0022857), Molecular Function: substrate-specific transmembrane transporter activity (GO:0022891)	Sugar/inositol transporter (IPR003663), General substrate transporter (IPR005828), Sugar transporter, conserved site (IPR005829), Major facilitator superfamily domain, general substrate transporter (IPR016196), Major facilitator superfamily domain (IPR020846)	BT068655 (DDBJ)	XP_002893607.1 (RefSeq)				
Os07t0151250-00	Os07g0151250	Hypothetical protein.									EU940776 (DDBJ)	longestORF				
Os07t0151300-01	Os07g0151300	MAGE protein family protein.								MAGE protein (IPR002190)	AK102057 (DDBJ, Best hit)	B4FM01 (UniProt)			J033082D03	
Os07t0151650-01	Os07g0151650	Hypothetical gene.									AK288164 (DDBJ, Best hit), AK288202 (DDBJ, Best hit)	longestORF			J090002E02, J090008J03	
Os07t0151700-00	Os07g0151700	Conserved hypothetical protein.									ab initio prediction	NP_001175060.1 (RefSeq)				
Os07t0151800-01	Os07g0151800	Conserved hypothetical protein.									AK105339 (DDBJ, Best hit)	A2YI84 (UniProt)			001-118-G04	
Os07t0151900-01	Os07g0151900	Conserved hypothetical protein.									AK240814 (DDBJ, Best hit)	NP_001175061.1 (RefSeq)			J065008G19	
Os07t0152000-01	Os07g0152000	Transcription factor , Cold tolerance	OsTCP21, TCP21	TEOSINTE BRANCHED/CYCLOIDEA/PROLIFERATING CELL FACTOR 21	TCP21	TEOSINTE BRANCHED/CYCLOIDEA/PROLIFERATING CELL FACTOR 21	OsTCP21			Transcription factor, TCP (IPR005333), Transcription factor TCP subgroup (IPR017887), CYC/TB1, R domain (IPR017888)	NM_001065440	Q0D8K4	November 26, 2015	24667308		12386
Os07t0152101-01	Os07g0152101	Hypothetical gene.									AK289184 (DDBJ, Best hit)	longestORF			J100033H08	
Os07t0152200-01	Os07g0152200	Similar to predicted protein.							Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)	Protein kinase, catalytic domain (IPR000719), Leucine-rich repeat (IPR001611), Serine/threonine-protein kinase, active site (IPR008271), Protein kinase-like domain (IPR011009), Leucine-rich repeat-containing N-terminal, type 2 (IPR013210), Concanavalin A-like lectin/glucanase, subgroup (IPR013320), Serine/threonine-protein kinase-like domain (IPR017442)	AK242765 (DDBJ, Best hit)	A2YI88 (UniProt)			J090052O12	
Os07t0152301-01	Os07g0152301	Similar to Calcineurin B-like protein.									AK289123 (DDBJ, Best hit)	C8TEU3 (UniProt)			J090097L18	
Os07t0152500-00	Os07g0152500	Similar to H0315A08.1 protein.								Ribonuclease H1, N-terminal (IPR011320)	FP099421 (DDBJ)	Q01I63 (UniProt)				
Os07t0152700-00	Os07g0152700	Similar to Glutathione transferase.			GSTU45	TAU GLUTATHIONE S-TRANSFERASE 45	OsGSTU45		Molecular Function: protein binding (GO:0005515)	Glutathione S-transferase, N-terminal (IPR004045), Glutathione S-transferase, C-terminal (IPR004046), Glutathione S-transferase, C-terminal-like (IPR010987), Thioredoxin-like fold (IPR012336), Glutathione S-transferase/chloride channel, C-terminal (IPR017933)	AK330265 (DDBJ)	B9FVJ2 (UniProt)				9562
Os07t0152800-01	Os07g0152800	Similar to Glycine-rich protein.									AK065458 (DDBJ, Best hit)	B6TIW3 (UniProt)			J013023D18	
Os07t0152900-01	Os07g0152900	Similar to Glycolate oxidase (EC 1.1.3.15) (Fragment).			GLO5	GLYCOLATE OXIDASE 5	GLO4, OsGLO4, OsGLO5	Glycolate oxidase 4, Glycolate oxidase 5	Biological Process: metabolic process (GO:0008152), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: catalytic activity (GO:0003824), Molecular Function: FMN binding (GO:0010181), Molecular Function: oxidoreductase activity (GO:0016491)	FMN-dependent dehydrogenase (IPR000262), FMN-dependent alpha-hydroxy acid dehydrogenase, active site (IPR008259), Alpha-hydroxy acid dehydrogenase, FMN-dependent (IPR012133), Aldolase-type TIM barrel (IPR013785)	AK120929 (DDBJ, Best hit)	Q6YT73 (UniProt)			J023036A14	12475
Os07t0152900-02	Os07g0152900	Similar to Glycolate oxidase.			GLO5	GLYCOLATE OXIDASE 5	GLO4, OsGLO4, OsGLO5	Glycolate oxidase 4, Glycolate oxidase 5	Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824), Molecular Function: oxidoreductase activity (GO:0016491)	FMN-dependent dehydrogenase (IPR000262), Aldolase-type TIM barrel (IPR013785)	AK062433 (DDBJ, Best hit)	Q6YT73 (UniProt)			001-102-H12	12475
Os07t0152900-03	Os07g0152900	Similar to Glycolate oxidase (EC 1.1.3.15) (Fragment).			GLO5	GLYCOLATE OXIDASE 5	GLO4, OsGLO4, OsGLO5	Glycolate oxidase 4, Glycolate oxidase 5	Biological Process: metabolic process (GO:0008152), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: catalytic activity (GO:0003824), Molecular Function: FMN binding (GO:0010181), Molecular Function: oxidoreductase activity (GO:0016491)	FMN-dependent dehydrogenase (IPR000262), FMN-dependent alpha-hydroxy acid dehydrogenase, active site (IPR008259), Alpha-hydroxy acid dehydrogenase, FMN-dependent (IPR012133), Aldolase-type TIM barrel (IPR013785)	AK062189 (DDBJ, Best hit)	Q6YT73 (UniProt)			001-046-E08	12475
Os07t0152900-04	Os07g0152900	Similar to Glycolate oxidase (EC 1.1.3.15) (Fragment).			GLO5	GLYCOLATE OXIDASE 5	GLO4, OsGLO4, OsGLO5	Glycolate oxidase 4, Glycolate oxidase 5	Biological Process: metabolic process (GO:0008152), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: catalytic activity (GO:0003824), Molecular Function: FMN binding (GO:0010181), Molecular Function: oxidoreductase activity (GO:0016491)	FMN-dependent dehydrogenase (IPR000262), FMN-dependent alpha-hydroxy acid dehydrogenase, active site (IPR008259), Alpha-hydroxy acid dehydrogenase, FMN-dependent (IPR012133), Aldolase-type TIM barrel (IPR013785)	AK103933 (DDBJ, Best hit)	Q6YT73 (UniProt)			001-013-E11	12475
Os07t0152950-00	Os07g0152950	Hypothetical gene.									BT066752 (DDBJ)	longestORF				
Os07t0153000-01	Os07g0153000	A member of the JASMONATE ZIM-domain (JAZ) family	OsJAZ2, OsTIFY5	Jasmonate ZIM-domain protein 2	TIFY5	TIFY GENE 5	OsJAZ 2, OsJAZ2, JAZ2, OsTIFY5, OsSTA188	Jasmonate ZIM-domain protein 2		Tify domain (IPR010399), CO/COL/TOC1, conserved site (IPR018467)	Inferred from literature	Q69NY7	July 8, 2020	19618278		15072
Os07t0153150-01	Os07g0153150	Conserved hypothetical protein.									AK318542 (DDBJ, Best hit)	B9FJ66 (UniProt)			J075088N21	20003
Os07t0153150-02	Os07g0153150	Conserved hypothetical protein.									AK241146 (DDBJ, Best hit)	Q69NY6 (UniProt)			J065112D19	20003
Os07t0153300-01	Os07g0153300	Protein of unknown function DUF1365 family protein.								Protein of unknown function DUF1365 (IPR010775)	AK066146 (DDBJ, Best hit)	B9FVJ7 (UniProt)			J013056E09	
Os07t0153400-01	Os07g0153400	Kelch-type beta propeller domain containing protein.					OsFbox340, Os_F0124	F-box protein 340	Molecular Function: protein binding (GO:0005515)	F-box domain, cyclin-like (IPR001810), Kelch repeat type 1 (IPR006652), Galactose oxidase, beta-propeller (IPR015916), F-box domain, Skp2-like (IPR022364)	AK069618 (DDBJ, Best hit)	XP_002893599.1 (RefSeq)			J023025H16	17116
Os07t0153600-01	Os07g0153600	Zinc-finger nuclear transcription factor, Control of prostrate growth, prog1 variants identified in O. sativa disrupt the prog1 function	PROG1, prog1	PROSTRATE GROWTH 1, prostrate growth 1	PROG1	PROSTRATE GROWTH 1	OsPROG1	zinc-finger nuclear transcription factor PROG1	Molecular Function: nucleic acid binding (GO:0003676)	Zinc finger C2H2-type (IPR013087)	EU556723 (Teqing, indica), FJ155665 (Oryza rufipogon)	Q69NY0 (japonica), A2YI98 (indica), D9ZKN9 (Oryza rufipogon)	August 25, 2017	18820699		8730
Os07t0154100-01	Os07g0154100	Similar to Viviparous-14.			NCED3	9-CIS-EPOXYCAROTENOID DIOXYGENASE 3	OSNCED3, OsNCED-3, OsNCED3, OsNCED4, NCED4, OsNECD2	9-cis-epoxycarotenoid dioxygenase 3		Carotenoid oxygenase (IPR004294)	AK119780 (DDBJ, Best hit)	NP_001147781.1 (RefSeq)			002-173-D12	7301
Os07t0154201-00	Os07g0154201	Hypothetical gene.									BT085311 (DDBJ)	longestORF				
Os07t0154300-01	Os07g0154300	Conserved hypothetical protein.									AK105386 (DDBJ, Best hit), AK122093 (DDBJ, Best hit)	A2YIA2 (UniProt)			001-121-H02, J033124K14	
Os07t0154400-01	Os07g0154400	Armadillo-type fold domain containing protein.							Molecular Function: binding (GO:0005488)	Armadillo-type fold (IPR016024)	AK288457 (DDBJ, Best hit)	B9FVJ8 (UniProt)			J090035C01	
Os07t0154800-01	Os07g0154800	Conserved hypothetical protein.									AK111389 (DDBJ, Best hit)	B8B7D0 (UniProt)			002-182-C03	
Os07t0154900-01	Os07g0154900	Conserved hypothetical protein.									AK062969 (DDBJ, Best hit)	NP_001045425.1 (RefSeq)			001-109-E02	
Os07t0155100-01	Os07g0155100	FAD dependent oxidoreductase family protein.							Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491)	FAD dependent oxidoreductase (IPR006076)	AK105193 (DDBJ, Best hit)	A0PFJ3 (UniProt)			001-107-D11	
Os07t0155200-01	Os07g0155200	Uncharacterised protein family UPF0090 domain containing protein.								Ribosome maturation factor RimP (IPR003728)	AK061006 (DDBJ, Best hit), AK104606 (DDBJ, Best hit)	B8B7D2 (UniProt)			006-204-A05, 006-309-B01	
Os07t0155600-01	Os07g0155600	Nramp ion-transporter family protein, Ethylene signaling pathway	EIN2, OsEIN2	ETHYLENE-INSENSITIVE PROTEIN 2, Ethylene-insensitive protein 2	EIN2	ETHYLENE-INSENSITIVE PROTEIN 2	OsEIN2, MHZ7/OsEIN2, OsEIN2/MHZ7, MHZ7	Ethylene-insensitive protein 2, maohuzi7, maohuzi 7	Biological Process: transport (GO:0006810), Cellular Component: membrane (GO:0016020), Molecular Function: transporter activity (GO:0005215)	Natural resistance-associated macrophage protein (IPR001046), Ethylene-insensitive 2 (IPR017187)	AY396568 (DDBJ)	Q6TJY0 (UniProt), Q0D8I9 (UniProt)	July 26, 2010	15047876		3070
Os07t0156200-00	Os07g0156200	Haem peroxidase, plant/fungal/bacterial family protein.					prx99	class III peroxidase 99	Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)	Plant peroxidase (IPR000823), Haem peroxidase, plant/fungal/bacterial (IPR002016), Haem peroxidase (IPR010255), Peroxidases heam-ligand binding site (IPR019793), Peroxidase, active site (IPR019794)	AK249509 (DDBJ)	NP_001152255.1 (RefSeq)				14622
Os07t0156467-00	Os07g0156467	Similar to Class III peroxidase 7.							Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)	Plant peroxidase (IPR000823), Haem peroxidase, plant/fungal/bacterial (IPR002016), Haem peroxidase (IPR010255), Peroxidases heam-ligand binding site (IPR019793), Peroxidase, active site (IPR019794)	ab initio prediction	Q5U1T6 (UniProt)				
Os07t0156732-01	Os07g0156732	Similar to EIN2.					OsEIN2.4, EIN2.4	Ethylene-insensitive protein 2.4	Biological Process: transport (GO:0006810), Cellular Component: membrane (GO:0016020), Molecular Function: transporter activity (GO:0005215)	Natural resistance-associated macrophage protein (IPR001046), Ethylene-insensitive 2 (IPR017187)	AK111802 (DDBJ, Best hit)	Q6TJY0 (UniProt)			J013072G02	22548
Os07t0156910-00	Os07g0156910	Similar to peroxidase 1.							Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)	Haem peroxidase, plant/fungal/bacterial (IPR002016), Haem peroxidase (IPR010255)	ab initio prediction	NP_001152255.1 (RefSeq)				
Os07t0157000-00	Os07g0157000	Similar to Class III peroxidase 7.					prx7	class III peroxidase 7	Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)	Plant peroxidase (IPR000823), Haem peroxidase, plant/fungal/bacterial (IPR002016), Haem peroxidase (IPR010255), Peroxidases heam-ligand binding site (IPR019793), Peroxidase, active site (IPR019794)	FP094284 (DDBJ)	Q5U1T6 (UniProt)				14536
Os07t0157401-01	Os07g0157401	Similar to EIN2.					OsEIN2.3, EIN2.3	Ethylene-insensitive protein 2.3	Biological Process: transport (GO:0006810), Cellular Component: membrane (GO:0016020), Molecular Function: transporter activity (GO:0005215)	Natural resistance-associated macrophage protein (IPR001046), Ethylene-insensitive 2 (IPR017187)	AK111802 (DDBJ, Best hit)	Q6TJY0 (UniProt)			J013072G02	22547
Os07t0157600-00	Os07g0157600	Similar to peroxidase 1.							Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)	Plant peroxidase (IPR000823), Haem peroxidase, plant/fungal/bacterial (IPR002016), Haem peroxidase (IPR010255), Peroxidases heam-ligand binding site (IPR019793), Peroxidase, active site (IPR019794)	AK252026 (DDBJ)	NP_001152255.1 (RefSeq)				
Os07t0157700-01	Os07g0157700	Conserved hypothetical protein.									AK069862 (DDBJ, Best hit)	B8B7D5 (UniProt)			J023039K07	
Os07t0157900-01	Os07g0157900	Deoxyribonuclease, TatD domain containing protein.							Molecular Function: endodeoxyribonuclease activity, producing 5'-phosphomonoesters (GO:0016888)	Deoxyribonuclease, TatD-related (IPR001130), Deoxyribonuclease, TatD (IPR015992)	AK067778 (DDBJ, Best hit)	B6TDE6 (UniProt)			J013114E17	
Os07t0158000-00	Os07g0158000	Hypothetical conserved gene.									ab initio prediction	A3BGQ5 (UniProt)				
Os07t0158100-01	Os07g0158100	Hypothetical gene.									AK108021 (DDBJ, Best hit)	longestORF			002-136-A03	
Os07t0158200-01	Os07g0158200	Deoxyribonuclease, TatD Mg-dependent domain containing protein.							Molecular Function: endodeoxyribonuclease activity, producing 5'-phosphomonoesters (GO:0016888)	Deoxyribonuclease, TatD-related (IPR001130), Deoxyribonuclease, TatD Mg-dependent (IPR012278), Deoxyribonuclease, TatD (IPR015992), Deoxyribonuclease, TatD-related, conserved site (IPR018228)	AK103591 (DDBJ, Best hit), AK103532 (DDBJ, Best hit)	B6TDE6 (UniProt)			J033133D05, J033132A09	
Os07t0158300-01	Os07g0158300	Similar to RNA binding protein.			CRP3	CHLOROPLAST RNA-BINDING PROTEIN 3	OsCRP3, cpRNP3		Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)	RNA recognition motif domain (IPR000504), Nucleotide-binding, alpha-beta plait (IPR012677)	AK067376 (DDBJ, Best hit), AK099188 (DDBJ, Best hit), AK104773 (DDBJ, Best hit)	O81989 (UniProt)			J013106F16, J023110K07, 001-039-B02	23881
Os07t0158400-00	Os07g0158400	Hypothetical conserved gene.								GCK (IPR012891)	EU966727 (DDBJ)	Q9LMF3 (UniProt)				
Os07t0158500-00	Os07g0158500	Similar to HAP2 subunit of HAP complex.			HAP2J	HAP2 SUBUNIT OF CCAAT-BOX BINDING COMPLEX	OsHAP2J, NF-YA, CBF-B, NF-YA5, OsNF-YA5, NFYA5	NUCLEAR FACTOR-Y subunit A5, NUCLEAR FACTOR-Y subunit NF-YA5, NF-YA transcription factor 5, NF-YA subunit 5, NF-YA family 5	Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Cellular Component: CCAAT-binding factor complex (GO:0016602), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700)	CCAAT-binding transcription factor, subunit B (IPR001289), CCAAT-binding factor, conserved site (IPR018362)	FP101566 (DDBJ)	B0S4T5 (UniProt)				8482
Os07t0158800-01	Os07g0158800	Protein of unknown function DUF266, plant family protein.							Cellular Component: membrane (GO:0016020), Molecular Function: acetylglucosaminyltransferase activity (GO:0008375)	Glycosyl transferase, family 14 (IPR003406)	AK106452 (DDBJ, Best hit)	A2YIC2 (UniProt)			002-103-F02	
Os07t0158900-01	Os07g0158900	Cyclin-like F-box domain containing protein.					OsFbox341, Fbox341, Os_F0215	F-box protein 341	Molecular Function: protein binding (GO:0005515)	F-box domain, cyclin-like (IPR001810), F-box domain, Skp2-like (IPR022364)	AK064980 (DDBJ, Best hit)	A2YIC3 (UniProt)			J013001C06	17117
Os07t0158900-02	Os07g0158900	Hypothetical conserved gene.					OsFbox341, Fbox341, Os_F0215	F-box protein 341			AK060772 (DDBJ, Best hit)	A3BGR3 (UniProt)			001-033-B05	17117
Os07t0159200-01	Os07g0159200	Conserved hypothetical protein.									AK107811 (DDBJ, Best hit)	NP_001175751.1 (RefSeq)			002-133-F01	
Os07t0159500-01	Os07g0159500	Conserved hypothetical protein.									AK065419 (DDBJ, Best hit)	B9FVK8 (UniProt)			J013021B09	
Os07t0159550-01	Os07g0159550	Hypothetical gene.									AK288669 (DDBJ, Best hit)	longestORF			J090058N18	
Os07t0159600-00	Os07g0159600	Similar to RING-H2 finger protein ATL2I.							Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)	Zinc finger, RING-type (IPR001841), Zinc finger, RING/FYVE/PHD-type (IPR013083), Zinc finger, RING-H2-type (IPR024766)	CT837653 (DDBJ, Best hit)	NP_001151304.1 (RefSeq)				
Os07t0159700-00	Os07g0159700	Protein kinase, catalytic domain domain containing protein.			RLCK223	RECEPTOR-LIKE CYTOPLASMIC KINASE 223	OsRLCK223	Receptor-like Cytoplasmic Kinase 223	Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)	Protein kinase, catalytic domain (IPR000719), Serine-threonine/tyrosine-protein kinase (IPR001245), Protein kinase-like domain (IPR011009), Tyrosine-protein kinase, catalytic domain (IPR020635)	BT061615 (DDBJ)	Q7XIM8 (UniProt)				18918
Os07t0159800-01	Os07g0159800	MD-2-related lipid-recognition domain containing protein.								MD-2-related lipid-recognition (IPR003172), Immunoglobulin E-set (IPR014756)	AK060475 (DDBJ, Best hit)	B6TM82 (UniProt)			001-012-F03	
Os07t0159800-02	Os07g0159800	Similar to ML domain protein.								MD-2-related lipid-recognition (IPR003172), Immunoglobulin E-set (IPR014756)	AK059284 (DDBJ, Best hit)	B6TM82 (UniProt)			001-025-D07	
Os07t0159900-01	Os07g0159900	Thioredoxin fold domain containing protein.					OsGRL14	GRX-like protein 14, glutaredoxin-like protein 14	Biological Process: cell redox homeostasis (GO:0045454), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: protein disulfide oxidoreductase activity (GO:0015035)	Glutaredoxin (IPR002109), Thioredoxin-like fold (IPR012336)	AK062586 (DDBJ, Best hit)	A2YID0 (UniProt)			001-100-F04	13604
Os07t0160000-00	Os07g0160000	Similar to Ubiquitin carboxyl-terminal hydrolase.			UBP4-2	UBIQUITIN-SPECIFIC PROCESSING PROTEASE 4-2	OsUBP4-2, OsUBP10, UBP10	ubiquitin-specific processing protease 4-2, Ubiquitin-specific protease 10	Biological Process: ubiquitin-dependent protein catabolic process (GO:0006511), Molecular Function: ubiquitin thiolesterase activity (GO:0004221)	Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2 (IPR001394), Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2, conserved site (IPR018200)	AK373562 (DDBJ)	B9FVK9 (UniProt)				22877
Os07t0160050-00	Os07g0160050	Hypothetical protein.									tplb0053f14 (Wheat FLcDNA)	longestORF				
Os07t0160100-01	Os07g0160100	Similar to cDNA clone:J023038F18, full insert sequence.			YAB1	YABBY1	OsYAB1, FIL1, osFIL1	YABBY1 gene, YABBY 1, OsYABBY1, Os YABBY1, FILAMENTOUS FLOWER 1, Protein YABBY 1, Protein FILAMENTOUS FLOWER 1, FIL homolog 1		YABBY protein (IPR006780)	AK120952 (DDBJ, Best hit)	D3U2G4 (UniProt)			J023038N03	6310
Os07t0160100-02	Os07g0160100	YABBY family transcription factor, Stamen and carpel development, Feedback regulation of gibberellin biosynthesis	YAB1, OsYAB1, FIL1, osFIL1	YABBY1, YABBY1 gene, YABBY 1, OsYABBY1, , Os YABBY1, FILAMENTOUS FLOWER 1, Protein YABBY 1, Protein FILAMENTOUS FLOWER 1, FIL homolog 1	YAB1	YABBY1	OsYAB1, FIL1, osFIL1	YABBY1 gene, YABBY 1, OsYABBY1, Os YABBY1, FILAMENTOUS FLOWER 1, Protein YABBY 1, Protein FILAMENTOUS FLOWER 1, FIL homolog 1	Biological Process: multicellular organismal development (GO:0007275)	YABBY protein (IPR006780), High mobility group box domain (IPR009071)	AF098752, AB274013, AK070045	Q7XIM7	March 16, 2016	17369428, 17216490, 15604733	J023038F18	6310
